Week,Score,Topic,,,,,
Week 1,8,Command Line / Ruby,,,,,
Week 2,7,Ruby / Git,,,,,
Week 3,3,Object Orientated Programming / Test - driven development,,,,,
Week 4,3,Ruby / Recursion,,,,,
Week 5,5,Sinatra / HTML & CSS / Heroku ,,,,,
Week 6,7,Capybara / Databases,,,,,
Week 7,7,Javascript ,,,,,
Week 8,8,Ruby on Rails,,,,,
Week 9,4,Websockets / Sass,,,,,
Week 10,6,APIs / Bootstrap,,,,,
Week 11,3,Project,,,,,
Week 12,9,Project,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,